name,filter,mjd,mag,mag_err,telescope,mag_lim,expt
SN2023ixf,sdssg,60517.970323,18.889,0.042,LT,21.725,70.0
SN2023ixf,sdssr,60517.973629,18.089,0.048,LT,21.424,70.0
SN2023ixf,sdssi,60517.97249,18.46,0.043,LT,21.337,70.0
SN2023ixf,sdssz,60517.974739,18.654,0.053,LT,21.231,75.0
SN2023ixf,sdssg,60083.923144,14.525,0.024,LT,22.298,60.0
SN2023ixf,sdssg,60083.979542,14.353,0.015,LT,22.275,60.0
SN2023ixf,sdssg,60084.146684,13.871,0.014,LT,21.365,40.0
SN2023ixf,sdssg,60084.064976,14.103,0.015,LT,22.087,40.0
SN2023ixf,sdssg,60084.891709,12.276,0.032,LT,21.653,40.0
SN2023ixf,sdssg,60084.952755,12.175,0.02,LT,21.216,20.0
SN2023ixf,sdssg,60085.136642,11.991,0.015,LT,20.635,20.0
SN2023ixf,sdssg,60085.045091,12.058,0.016,LT,21.084,20.0
SN2023ixf,sdssg,60085.891449,11.458,0.02,LT,20.987,20.0
SN2023ixf,sdssg,60085.996291,11.424,0.016,LT,20.335,15.0
SN2023ixf,sdssg,60086.897561,11.156,0.016,LT,20.558,10.0
SN2023ixf,sdssg,60087.083465,11.217,0.012,LT,20.862,10.0
SN2023ixf,sdssg,60087.94113,11.138,0.028,LT,20.705,10.0
SN2023ixf,sdssg,60088.122819,11.13,0.014,LT,19.197,5.0
SN2023ixf,sdssg,60088.010524,11.108,0.015,LT,,10.0
SN2023ixf,sdssg,60094.14544,11.259,0.026,LT,19.708,7.0
SN2023ixf,sdssg,60094.018889,11.259,0.023,LT,20.201,7.0
SN2023ixf,sdssg,60094.885912,11.26,0.026,LT,19.847,6.0
SN2023ixf,sdssg,60095.013592,11.265,0.014,LT,19.794,6.0
SN2023ixf,sdssg,60095.156282,11.308,0.018,LT,19.806,6.0
SN2023ixf,sdssg,60096.890198,11.344,0.023,LT,20.24,6.0
SN2023ixf,sdssg,60096.940387,11.336,0.022,LT,19.608,3.0
SN2023ixf,sdssg,60097.055128,11.319,0.018,LT,19.666,4.0
SN2023ixf,sdssg,60097.887794,11.347,0.026,LT,19.864,4.0
SN2023ixf,sdssg,60097.922996,11.365,0.025,LT,19.323,2.0
SN2023ixf,sdssg,60101.883299,11.469,0.035,LT,18.659,3.0
SN2023ixf,sdssg,60109.886047,11.866,0.053,LT,19.399,3.0
SN2023ixf,sdssg,60110.91053,11.84,0.015,LT,19.847,4.0
