IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20250218_6_1_1_9.fits,2025bew,SDSS-G,60724.836766,1.430641,1.272018,120.0,2025-02-18T20:04:56.597
h_e_20250218_6_2_1_9.fits,2025bew,SDSS-G,60724.838374,1.715577,1.277639,120.0,2025-02-18T20:07:15.482
h_e_20250218_6_3_1_9.fits,2025bew,SDSS-G,60724.839982,1.726863,1.283419,120.0,2025-02-18T20:09:34.444
h_e_20250218_9_1_1_9.fits,2025bev,SDSS-G,60724.852356,1.39987,1.343734,120.0,2025-02-18T20:27:23.586
h_e_20250218_9_2_1_9.fits,2025bev,SDSS-G,60724.853964,1.711631,1.350965,120.0,2025-02-18T20:29:42.457
h_e_20250218_9_3_1_9.fits,2025bev,SDSS-G,60724.855606,1.47005,1.358503,120.0,2025-02-18T20:32:04.320
h_e_20250218_22_1_1_9.fits,ZTF25aafnnbw,SDSS-G,60725.1127,1.760993,1.43781,120.0,2025-02-19T02:42:17.299
h_e_20250218_22_2_1_9.fits,ZTF25aafnnbw,SDSS-G,60725.114307,2.043002,1.43042,120.0,2025-02-19T02:44:36.166
h_e_20250218_22_3_1_9.fits,ZTF25aafnnbw,SDSS-G,60725.115915,1.731975,1.423217,120.0,2025-02-19T02:46:55.074
h_e_20250218_7_1_1_9.fits,2025bew,SDSS-I,60724.841724,1.512734,1.289745,120.0,2025-02-18T20:12:04.950
h_e_20250218_7_2_1_9.fits,2025bew,SDSS-I,60724.843331,1.992992,1.295737,120.0,2025-02-18T20:14:23.818
h_e_20250218_7_3_1_9.fits,2025bew,SDSS-I,60724.844939,2.103796,1.301848,120.0,2025-02-18T20:16:42.699
h_e_20250218_10_1_1_9.fits,2025bev,SDSS-I,60724.857354,1.254178,1.366693,120.0,2025-02-18T20:34:35.426
h_e_20250218_10_2_1_9.fits,2025bev,SDSS-I,60724.858961,1.496148,1.374385,120.0,2025-02-18T20:36:54.267
h_e_20250218_10_3_1_9.fits,2025bev,SDSS-I,60724.860569,1.496877,1.382233,120.0,2025-02-18T20:39:13.139
h_e_20250218_23_1_1_9.fits,ZTF25aafnnbw,SDSS-I,60725.117649,1.721756,1.415806,120.0,2025-02-19T02:49:24.894
h_e_20250218_23_2_1_9.fits,ZTF25aafnnbw,SDSS-I,60725.119256,2.228321,1.409084,120.0,2025-02-19T02:51:43.752
h_e_20250218_23_3_1_9.fits,ZTF25aafnnbw,SDSS-I,60725.120864,2.210364,1.402635,120.0,2025-02-19T02:54:02.657
h_e_20250218_5_1_1_9.fits,2025bew,SDSS-R,60724.831818,1.419763,1.255418,120.0,2025-02-18T19:57:49.045
h_e_20250218_5_2_1_9.fits,2025bew,SDSS-R,60724.833425,1.410904,1.260692,120.0,2025-02-18T20:00:07.910
h_e_20250218_5_3_1_9.fits,2025bew,SDSS-R,60724.835032,1.78645,1.266077,120.0,2025-02-18T20:02:26.764
h_e_20250218_8_1_1_9.fits,2025bev,SDSS-R,60724.847405,1.617931,1.322303,120.0,2025-02-18T20:20:15.768
h_e_20250218_8_2_1_9.fits,2025bev,SDSS-R,60724.849012,1.190298,1.329102,120.0,2025-02-18T20:22:34.606
h_e_20250218_8_3_1_9.fits,2025bev,SDSS-R,60724.850619,1.206401,1.336037,120.0,2025-02-18T20:24:53.472
h_e_20250218_21_1_1_9.fits,ZTF25aafnnbw,SDSS-R,60725.107763,1.466797,1.462069,120.0,2025-02-19T02:35:10.748
h_e_20250218_21_2_1_9.fits,ZTF25aafnnbw,SDSS-R,60725.109371,1.492942,1.45391,120.0,2025-02-19T02:37:29.636
h_e_20250218_21_3_1_9.fits,ZTF25aafnnbw,SDSS-R,60725.110978,1.534763,1.446007,120.0,2025-02-19T02:39:48.493
