IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20240922_83_1_1_9.fits,ZTF24aaqajjb,SDSS-G,60575.99326,1.077825,1.385412,120.0,2024-09-22T23:50:17.670
h_e_20241006_94_1_1_9.fits,ZTF24aaqajjb,SDSS-G,60590.009723,1.524244,1.119001,120.0,2024-10-07T00:14:00.092
h_e_20241023_47_1_1_9.fits,ZTF24aaqajjb,SDSS-G,60606.94435,1.871644,1.187408,120.0,2024-10-23T22:39:51.827
h_e_20240922_84_1_1_9.fits,ZTF24aaqajjb,SDSS-I,60575.998208,0.9124881,1.351118,90.0,2024-09-22T23:57:25.135
h_e_20241006_95_1_1_9.fits,ZTF24aaqajjb,SDSS-I,60590.014673,1.218975,1.104308,90.0,2024-10-07T00:21:07.749
h_e_20241023_48_1_1_9.fits,ZTF24aaqajjb,SDSS-I,60606.949302,1.624675,1.167551,90.0,2024-10-23T22:46:59.672
h_e_20240922_85_1_1_9.fits,ZTF24aaqajjb,SDSS-R,60576.000852,1.126816,1.333851,90.0,2024-09-23T00:01:13.579
h_e_20241006_96_1_1_9.fits,ZTF24aaqajjb,SDSS-R,60590.017318,1.399358,1.096943,90.0,2024-10-07T00:24:56.256
h_e_20241023_49_1_1_9.fits,ZTF24aaqajjb,SDSS-R,60606.951946,2.623011,1.157552,90.0,2024-10-23T22:50:48.165
h_e_20240922_86_1_1_9.fits,ZTF24aaqajjb,SDSS-Z,60576.003465,0.9272308,1.317488,75.0,2024-09-23T00:04:59.410
h_e_20241006_97_1_1_9.fits,ZTF24aaqajjb,SDSS-Z,60590.019932,1.360017,1.089964,75.0,2024-10-07T00:28:42.108
h_e_20241023_50_1_1_9.fits,ZTF24aaqajjb,SDSS-Z,60606.95456,1.807763,1.148041,75.0,2024-10-23T22:54:34.001
