IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20241003_204_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60587.075982,2.594662,1.517948,30.0,2024-10-04T01:49:24.806
h_e_20241004_157_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60588.074155,1.709124,1.514542,30.0,2024-10-05T01:46:46.993
h_e_20241005_136_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60589.081783,1.436273,1.480971,30.0,2024-10-06T01:57:46.016
h_e_20241006_113_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60590.067103,1.644424,1.520565,30.0,2024-10-07T01:36:37.688
h_e_20241007_79_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60591.069443,1.510264,1.502261,30.0,2024-10-08T01:39:59.878
h_e_20241008_54_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60592.077496,2.310915,1.47063,30.0,2024-10-09T01:51:35.638
h_e_20241009_74_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60593.067281,1.362456,1.491547,30.0,2024-10-10T01:36:53.092
h_e_20241010_77_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60594.095585,1.222626,1.432474,30.0,2024-10-11T02:17:38.576
h_e_20241011_79_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60595.055111,1.8696,1.514302,30.0,2024-10-12T01:19:21.587
h_e_20241012_5_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60596.074374,2.323119,1.453515,30.0,2024-10-13T01:47:05.902
h_e_20241013_137_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60597.088238,1.615377,1.431835,30.0,2024-10-14T02:07:03.773
h_e_20241016_27_1_1_9.fits,ZTF24abjjpbo,Bessell-B,60600.045001,966.0,1.501811,60.0,2024-10-17T01:04:48.092
h_e_20241003_207_1_1_9.fits,ZTF24abjjpbo,Bessell-V,60587.079055,2.66938,1.506769,30.0,2024-10-04T01:53:50.363
h_e_20241004_160_1_1_9.fits,ZTF24abjjpbo,Bessell-V,60588.077239,1.320139,1.503613,30.0,2024-10-05T01:51:13.471
h_e_20241005_139_1_1_9.fits,ZTF24abjjpbo,Bessell-V,60589.084892,1.090346,1.472634,30.0,2024-10-06T02:02:14.635
