IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
20230809010003p.fits,ZTF23aalftvv  g,g,60165.25641149981,2.403,1.537,90.0,2023-08-09T06:09:13.993884
20230813010003p.fits,ZTF23aalftvv  g,g,60169.3513902002,3.459,1.722,90.0,2023-08-13T08:26:00.158022
20230815010004p.fits,ZTF23aalftvv  g,g,60171.35614559986,2.92,1.747,90.0,2023-08-15T08:32:50.986815
20230817010003p.fits,ZTF23aalftvv  g,g,60173.28112930013,2.825,1.602,90.0,2023-08-17T06:44:49.611871
20230819000001p.fits,ZTF23aalftvv  g,g,60175.24436050002,0.0,1.555,90.0,2023-08-19T05:51:52.786176
20230823010003p.fits,ZTF23aalftvv  g,g,60179.20839380007,2.589,1.526,90.0,2023-08-23T05:00:05.267828
20230827010003p.fits,ZTF23aalftvv  g,g,60183.21530679986,2.937,1.546,90.0,2023-08-27T05:10:02.556655
20230829010003p.fits,ZTF23aalftvv  g,g,60185.2300896002,2.987,1.574,90.0,2023-08-29T05:31:19.768057
20230904010004p.fits,ZTF23aalftvv  g,g,60191.17500089994,3.591,1.526,190.0,2023-09-04T04:12:00.086489
20230906000005p.fits,ZTF23aalftvv  g,g,60193.1947451001,2.411,1.555,220.0,2023-09-06T04:40:26.020591
20230911010003p.fits,ZTF23aalftvv  g,g,60198.21929119993,2.624,1.613,90.0,2023-09-11T05:15:46.792766
20230914000001p.fits,ZTF23aalftvv  g,g,60201.15903879981,2.817,1.538,90.0,2023-09-14T03:49:00.959467
20230927010003p.fits,ZTF23aalftvv  g,g,60214.2019607001,2.732,1.664,90.0,2023-09-27T04:50:49.443001
20231004010003p.fits,ZTF23aalftvv  g,g,60221.16626850003,2.573,1.631,90.0,2023-10-04T03:59:25.619163
20231004010006p.fits,ZTF23aalftvv  g,g,60221.19839410018,2.64,1.697,180.0,2023-10-04T04:45:41.288294
20231010010003p.fits,ZTF23aalftvv  g,g,60227.13548409985,2.66,1.605,220.0,2023-10-10T03:15:05.871992
20231016010003p.fits,ZTF23aalftvv  g,g,60233.10268720007,4.484,1.579,230.0,2023-10-16T02:27:52.202179
20231020010003p.fits,ZTF23aalftvv  g,g,60237.09937420022,2.858,1.591,220.0,2023-10-20T02:23:05.961892
20231022000001p.fits,ZTF23aalftvv  g,g,60239.09391460009,2.935,1.591,200.0,2023-10-22T02:15:14.236673
20231103000003p.fits,ZTF23aalftvv  g,g,60251.09545020014,2.845,1.653,300.0,2023-11-03T02:17:26.903716
20230809010005p.fits,ZTF23aalftvv  i,i,60165.2597089,2.281,1.543,90.0,2023-08-09T06:13:58.860725
20230813010005p.fits,ZTF23aalftvv  i,i,60169.3546771002,4.027,1.731,90.0,2023-08-13T08:30:44.110793
20230815010005p.fits,ZTF23aalftvv  i,i,60171.35778369987,2.399,1.751,90.0,2023-08-15T08:35:12.511916
20230817010005p.fits,ZTF23aalftvv  i,i,60173.28442500019,2.661,1.61,90.0,2023-08-17T06:49:34.315514
20230819010004p.fits,ZTF23aalftvv  i,i,60175.24765489995,1.903,1.562,90.0,2023-08-19T05:56:37.345085
20230823010005p.fits,ZTF23aalftvv  i,i,60179.21170199988,2.281,1.532,90.0,2023-08-23T05:04:51.046118
20230827010005p.fits,ZTF23aalftvv  i,i,60183.21858109999,2.447,1.553,90.0,2023-08-27T05:14:45.415898
20230829010005p.fits,ZTF23aalftvv  i,i,60185.2333678999,2.396,1.581,90.0,2023-08-29T05:36:02.989380
20230904010005p.fits,ZTF23aalftvv  i,i,60191.17778650019,2.872,1.531,190.0,2023-09-04T04:16:00.740118
20230906000007p.fits,ZTF23aalftvv  i,i,60193.20103179989,2.017,1.566,220.0,2023-09-06T04:49:29.131769
20230911010005p.fits,ZTF23aalftvv  i,i,60198.22259210004,2.234,1.621,90.0,2023-09-11T05:20:31.957733
20230914010004p.fits,ZTF23aalftvv  i,i,60201.16234249994,2.147,1.544,90.0,2023-09-14T03:53:46.387226
20230927010005p.fits,ZTF23aalftvv  i,i,60214.20524389995,2.303,1.672,90.0,2023-09-27T04:55:33.075827
20231004010005p.fits,ZTF23aalftvv  i,i,60221.16957919998,2.102,1.639,90.0,2023-10-04T04:04:11.642490
20231004010008p.fits,ZTF23aalftvv  i,i,60221.20374900009,2.167,1.71,180.0,2023-10-04T04:53:23.919419
20231010010004p.fits,ZTF23aalftvv  i,i,60227.14180559991,2.376,1.618,220.0,2023-10-10T03:24:11.986516
20231016010005p.fits,ZTF23aalftvv  i,i,60233.10920679988,3.048,1.592,230.0,2023-10-16T02:37:15.458857
20231020010004p.fits,ZTF23aalftvv  i,i,60237.10558809992,2.358,1.603,220.0,2023-10-20T02:32:02.787238
20231022010004p.fits,ZTF23aalftvv  i,i,60239.09975210018,2.443,1.603,200.0,2023-10-22T02:23:38.581741
20230808000001p.fits,ZTF23aalftvv,r,60164.16618459998,3.071,1.484,30.0,2023-08-08T03:59:18.346537
20230809000001p.fits,ZTF23aalftvv,r,60165.23454259988,2.443,1.515,30.0,2023-08-09T05:37:44.471190
20230809010004p.fits,ZTF23aalftvv  r,r,60165.25805380009,2.222,1.539,90.0,2023-08-09T06:11:35.854837
20230813000001p.fits,ZTF23aalftvv,r,60169.32931629987,2.482,1.67,30.0,2023-08-13T07:54:12.969815
20230813010004p.fits,ZTF23aalftvv  r,r,60169.3530346998,2.833,1.722,90.0,2023-08-13T08:28:22.210956
20230815000001p.fits,ZTF23aalftvv,r,60171.33252609987,2.013,1.688,30.0,2023-08-15T07:58:50.230788
20230815010003p.fits,ZTF23aalftvv  r,r,60171.35449790023,2.528,1.738,90.0,2023-08-15T08:30:28.664184
20230817000001p.fits,ZTF23aalftvv,r,60173.25914940005,2.269,1.567,30.0,2023-08-17T06:13:10.521852
20230817010004p.fits,ZTF23aalftvv  r,r,60173.2827674998,2.22,1.604,90.0,2023-08-17T06:47:11.105854
20230819010003p.fits,ZTF23aalftvv  r,r,60175.24601749983,12.494,1.557,90.0,2023-08-19T05:54:15.913601
20230823000001p.fits,ZTF23aalftvv,r,60179.18656930001,2.139,1.508,30.0,2023-08-23T04:28:39.592517
